"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
1,268183011E0;-7,256250381E0;-1,044375038E1;-5,268750381E1;5,420053644E1
1,288187253E0;-7,143750191E0;-1,055625057E1;-5,291250229E1;5,442610120E1
1,308077659E0;-7,012500286E0;-1,050000000E1;-5,285625076E1;5,434343019E1
1,328074295E0;-7,012500286E0;-1,055625057E1;-5,285625076E1;5,435432670E1
1,348078591E0;-6,900000095E0;-1,050000000E1;-5,285625076E1;5,432902766E1
1,368075227E0;-6,712500095E0;-1,055625057E1;-5,274375153E1;5,420696827E1
1,388185743E0;-6,656250477E0;-1,080000019E1;-5,261250305E1;5,412043193E1
1,408190004E0;-6,656250477E0;-1,061250019E1;-5,244375229E1;5,391918012E1
1,428186635E0;-6,656250477E0;-1,055625057E1;-5,231250381E1;5,378046255E1
1,448190887E0;-6,712500095E0;-1,050000000E1;-5,238750076E1;5,384940012E1
1,468187518E0;-6,843750477E0;-1,061250019E1;-5,238750076E1;5,388796078E1
1,488184169E0;-6,787500381E0;-1,050000000E1;-5,250000381E1;5,396823660E1
1,508188440E0;-7,012500286E0;-1,050000000E1;-5,261250305E1;5,410638260E1
1,528184912E0;-7,256250381E0;-1,050000000E1;-5,268750381E1;5,421140312E1
1,548181553E0;-7,443750381E0;-1,044375038E1;-5,268750381E1;5,422595688E1
1,568185848E0;-7,443750381E0;-1,068750000E1;-5,291250229E1;5,449187989E1
1,588182479E0;-7,443750381E0;-1,074375057E1;-5,310000229E1;5,468498733E1
1,608186731E0;-7,443750381E0;-1,074375057E1;-5,291250229E1;5,450294024E1
1,628190983E0;-7,312500477E0;-1,074375057E1;-5,304375076E1;5,461263896E1
1,648187634E0;-7,500000477E0;-1,080000019E1;-5,304375076E1;5,464914918E1
1,668191875E0;-7,256250381E0;-1,068750000E1;-5,285625076E1;5,441193868E1
1,688188497E0;-7,087500095E0;-1,061250019E1;-5,280000305E1;5,432032898E1
1,708185147E0;-7,012500286E0;-1,038750076E1;-5,261250305E1;5,408466335E1
1,728189418E0;-7,087500095E0;-1,014375019E1;-5,261250305E1;5,404816188E1
1,748186049E0;-7,200000286E0;-1,038750076E1;-5,255625153E1;5,405459972E1
1,768182680E0;-7,443750381E0;-1,020000076E1;-5,291250229E1;5,439836701E1
1,788186941E0;-7,443750381E0;-1,038750076E1;-5,304375076E1;5,456142490E1
1,808183563E0;-7,200000286E0;-1,044375038E1;-5,304375076E1;5,453944830E1
1,828187829E0;-7,556250095E0;-1,044375038E1;-5,315625381E1;5,469694833E1
1,848192268E0;-7,687500477E0;-1,061250019E1;-5,334375381E1;5,492976329E1
1,868188900E0;-7,500000477E0;-1,068750000E1;-5,328750229E1;5,486374544E1
1,888193132E0;-7,556250095E0;-1,061250019E1;-5,310000229E1;5,467478687E1
1,908189763E0;-7,312500477E0;-1,044375038E1;-5,310000229E1;5,460910939E1
1,928186390E0;-7,200000286E0;-1,068750000E1;-5,280000305E1;5,434982045E1
1,948190618E0;-7,200000286E0;-1,055625057E1;-5,285625076E1;5,437883481E1
1,968187230E0;-7,443750381E0;-1,038750076E1;-5,291250229E1;5,443383590E1
1,988183886E0;-7,012500286E0;-1,055625057E1;-5,280000305E1;5,429963083E1
2,008188199E0;-7,256250381E0;-1,031250000E1;-5,255625153E1;5,404776036E1
2,028184821E0;-7,556250095E0;-1,044375038E1;-5,268750381E1;5,424151450E1
2,048189092E0;-7,500000477E0;-1,061250019E1;-5,280000305E1;5,437568841E1
